nl,praesens,aorist,futurum,voice
beminnen， liefhebben， houden van,αγαπάω/ώ,αγάπησα,θα αγαπήσω,active
omhelzen,αγκαλιάζω,αγκάλιασα,θα αγκαλιάσω,active
kopen,αγοράζω,αγόρασα,θα αγοράσω,active
,ακολουθώ,ακολούθησα,θα ακολουθήσω,active
,ακριβαίνω,ακρίβυνα,θα ακριβύνω,active
horen,ακούω,άκουσα,θα ακούσω,active
veranderen,αλλάζω,άλλαξα,θα αλλάξω,active
,ανάβω,άναψα,θα ανάψω,active
,ανακατεύω,ανακάτεψα,θα ανακατέψω,active
opstappen,ανεβαίνω,ανέβηκα,θα ανεβώ,active
zich zorgen maken,ανησυχώ,ανησύχησα,θα ανησυχήσω,active
openen,ανοίγω,άνοιξα,θα ανοίξω,active
,αντέχω,άντεξα,θα αντέξω,active
,απαγορεύω,απαγόρευσα,θα απαγορεύσω,active
antwoorden,απαντάω/ώ,απάντησα,θα απαντήσω,active
beslissen,αποφασίζω,αποφάσισα,θα αποφασίσω,active
(te) laat zijn,αργώ,άργησα,θα αργήσω,active
,αρέσει (μου),άρεσε (μου),θα αρέσει (μου),active
ziek worden,αρρωσταίνω,αρρώστησα,θα αρρωστήσω,active
beginnen,αρχίζω,άρχισα,θα αρχίσω,active
laten,αφήνω,άφησα,θα αφήσω,active
¹zetten， plaatsen ²leggen ³(kleren) aandoen,βάζω,έβαλα,θα βάλω,active
schilderen， verven,βάφω,έβαψα,θα βάψω,active
uitdoen， uithalen， een toertje/wandelingetje maken， rondslenteren， waggelen， boemelen,βγάζω,έβγαλα,θα βγάλω,active
uitgaan， naar buiten gaan,βγαίνω,βγήκα,θα βγω,active
,βήχω,έβηξα,θα βήξω,active
zien,βλέπω,είδα,θα δω,active
helpen,βοηθάω (ώ),βοήθησα,θα βοηθήσω,active
het regent,βρέχει,έβρεξε,θα βρέξει,active
vinden,βρίσκω,βρήκα,θα βρω,active
,γαυγίζω,γάβγισα,θα γαυγίσω,active
lachen,γελάω (ώ),γέλασα,θα γελάσω,active
,γεμίζω,γέμισα,θα γεμίσω,active
,γεννάω (ώ),γέννησα,θα γεννήσω,active
