	Μην το συζητάτε
Verschoont u me!	με συγχωρείτε
	Μπορώ να σας ρωτήσω κάτι
	Θα ήθελα
	τι λέτε
	τι εννοείτε
	μπορείτε να μιλάτε κάπως πιο αργά
	μπορείτε να το επαναλάβετε άλλη μία φορά 
	Ευχαρίστως
	Σύμφωνοι
	θαυμάσια
	φανταστικά
	ίσως
	κρίμα
	Μια στιγμή
	πόσο τι είναι αυτό
Wat betekent dat?	Τι σημαίνει αυτό;
Hoeveel kost het?	Πόσο κοστίζει αυτό
	Πόσο διαρκεί 
	πόσο μακριά είναι
	μπορείτε να μου πείτε πώς θα πάω στο …
	Όνειρα γλυκά
Het spijt me	Λυπάμαι
Het maakt niet uit.	δεν πειράζει
	μπορώ να περάσω προχωρήστε
	καλή όρεξη
	συγχαρητήρια καλές γιορτές επίσης στο επανιδείν 
	Τα λέμε αργότερα
	σας εύχομαι ό,τι καλύτερο
	Καλή δύναμη
	Πολύ φιλικό εκ μέρους σας
	καλό ταξίδι
	καλές διακοπές
	μπορώ να συστηθώ
	Χαίρομαι για την γνωριμία
(Het was me) Aangenaam (kennis te hebben gemaakt)!	Χάρηκα
	Από δω η φίλη μου
	από δω η κόρη μου
	Από πού είστε
	μπορείτε να το γράψετε 
	Θα πρέπει τώρα να σας αποχαιρετήσω
	πρέπει να φύγουμε
	ήταν πολύ ωραία
	ελπίζω να σε ξαναδώ σύντομα 
	Εχεσα τον δρόμο μου
	μπορείτε να μου δείξετε που είμαστε σ’ αυτόν τον Κάρτι
	ποιος είναι ο γρι γω Ρτερος τρόπος να φτάσω στην πρέπει να γυρίσετε 
	Που πηγαίνεις
	πηγαίνω στην
	μπες μέσα
	Εντάξει είναι
	τι σας χρωστάω
Welkom!	καλώς ήλθατε!
	Σας αρέσει είναι όλα εντάξει σας άρεσε 
	πρόσεξε
	βοήθεια
	τι πρέπει να κάνω τώρα
	έχω χαθεί
	Φωτιά!
	Αυτό δεν γίνεται!
	άντε παράτα μας!
	Α στο διάλο!
	άσε με ήσυχη!
	φύγε!
	άντε στο διάλο!
	άσε με!
	κάτω τα χέρια σου!
	Έχεις φωτιά
	τι ωραία που είσαι 
	Μπορώ να κεράσω κάτι
	θέλεις να πιούμε κάτι
	μου αρέσεις πολύ
	νομίζω πως είμαι ερωτευμένος μαζί σου
	και γω το ίδιο
	με τρελαίνεις
	μπορώ να σου δώσω ένα φιλί 
