date	nl	el
		βγαίνω - βγήκα - θα βγω
		μπαίνω - μπήκα - θα μπω
		ανεβαίνω - ανέβηκα - θα ανέβω / ανεβώ
		κατεβαίνω - κατέβηκα - θα κατεβώ / κατέβω
		βρίσκω - βρήκα - θα βρω
2026-02-04	tot	έως / ως / μέχρι
2026-02-04	jogging	η φόρμα
2026-02-04	stilte	η ησυχία
2026-02-04	vaderland	η πατρίδα
2026-02-04	watermeloen	η καρπούζι
2026-02-04	zand	η άμμος
2026-02-04	gastvrijheid	η φιλοξενία
2026-02-04	blij	χαρούμενος-η-ο
2026-02-04	gebroken	σπασμένος-η-ο
2026-02-04	volgend jaar	τον χρόνο
2026-02-04	huur	το ενοίκιο
2026-02-04	reclamefolder	το διαφημιστικό
2026-02-04	golf	το κύμα
2026-02-04	mast	το κατάρτι
2026-02-04	nog maar net	μόλις
2026-02-04	werkelijk	πραγματικός-η-ο
2026-02-04	schitterend	υπέροχα
2026-02-04	in elk geval; absoluut; alleszins	οπωσδήποτε
2026-02-04	manier	ο τρόπος
2026-02-04	lade	το συρτάρι
2026-02-04	kast	η ντουλάπα
2026-02-04	rug	η πλάτη
2026-02-04	spel	το παιχνίδι
2026-02-04	horizontaal	οριζόντιος
2026-02-04	verticaal	κάθετος
2026-02-04	horizon	ο ορίζοντας
2026-02-04	geërgerd geraken	έχω νεύρα
2026-02-04	beginnen roepen	βάζω τις φωνές
2026-02-04	slecht reageren	μιλάω άσχημα
2026-02-04	ik kan niet meer	δεν μπορώ άλλο
2026-02-04	het is jouw schuld	εσύ φταις!
2026-02-04	waar is het ene, waar is het andere	που είναι το ένα, που είναι το άλλο
2026-02-04	on	πάνω σε
2026-02-04	in	μέσα σε
2026-02-04	dicht bij	κοντά σε
2026-02-04	voor	μπροστά σε
2026-02-04	onder	κάτω από
2026-02-04	buiten	έξω από
2026-02-04	ver van	μακριά από
2026-02-04	achter	πίσω από
2026-02-11	oplossing	η λύση
2026-02-11	identiteit	η ταυτότητα
2026-02-11	buur	ο γείτονας
2026-02-11	winkel	το κατάστημα
2026-02-11	veel plezier ermee	με γεια σου!
2026-02-11	circuleren	κυκλοφορώ
2026-02-11	(al)waar	όπου
2026-02-11	niet meer	δεν πια
2026-02-11	staken	απεργώ
2026-02-11	korting	η έκπτωση
2026-02-11	passen (kledij)	δοκιμάζω
2026-02-11	procent	τοις εκατό
2026-02-25	muis	το ποντίκι
2026-02-25	muizen	τα ποντίκια
2026-02-25	oven	ο φούρνος
2026-02-25	gootsteen	ο νεροχύτης
2026-02-25	glas	το ποτήρι
2026-02-25	halfharde kaas (geel)	το κασέρι
2026-02-25	deur	η πόρτα
2026-02-25	bord	το πιάτο
2026-02-25	stoel	η καρέκλα
2026-02-25	pan	το τηγάνι
2026-02-25	kast	το ντουλάπι
2026-02-25	lade	το συρτάρι
2026-02-25	kopje	το φλιτζάνι
2026-02-25	zout	το αλάτι
2026-02-25	kat	η γάτα
2026-02-25	Waar bevindt zich de kat?	πού βρίσκεται το ποντίκι
2026-02-25	achter de deur	πίσω από την πόρτα
2026-02-25	tussen het kopje en	ανάμεσα στο ποτήρι και
2026-02-25	op de kast	πάνω στο ντουλάπι
2026-02-25	in de kast	μέσα στο ντουλάπι
2026-02-25	naast het zout	δίπλα στο αλάτι
2026-02-25	voor de kat	μπροστά από τη γάτα
2026-03-04	botsen	τραπάρω
2026-03-04	noteren	σημειώνω
2026-03-04	leeftijd	η ηλικία
2026-03-04	bruid; schoondochter	η νύφη
2026-03-04	bruidegom; schoonzoon	ο γαμπρός
2026-03-04	schoonouders	ο πεθερικά
2026-03-04	schoonvader	ο πεθερός
2026-03-04	schoonmoeder	η πεθερά
2026-03-04	kinderen van oom en tante	τα ξαδέλφια
2026-03-04	zoon van oom en tante	ο ξάδελφος
2026-03-04	dochter van oom en tante	η ξαδέλφη
2026-03-04	broers en zussen	τα αδέλφια
2026-03-04	zussen	οι αδελφές
2026-03-04	neef	ο ανιψιός
2026-03-04	nicht	η ανιψιά
2026-03-04	kinderen van broers en zussen	τα ανίψια
2026-03-04	eerste neven / nichten	τα πρώτα ξαδέρφια
2026-03-04	veilig	ασφαλής
2026-03-04	is veilig	είναι ασφαλές
2026-03-04	heks	η μάγισσα
2026-03-04	kleinzoon	ο εγγονός
2026-03-04	kleindochter	η εγγονή
2026-03-04	kleinkind	το εγγόνι
2026-03-04	kleinkinderen	τα εγγόνια
2026-03-04	Wat is hij/zij van jou	Τι τον/την έχεις
2026-03-04	haven	το λιμάνι
2026-03-04	hoe dan ook	πάντως
2026-03-04	aan de kant	άκρη-άκρη
2026-03-04	echt	πραγματικώς
2026-03-04	een tweetal	κανά δυό
2026-03-04	een grote zwak(te)	η μεγάλη αδυναμία
